gangwonX,gangwonY,gyeonggiX,gyeonggiY,seoulX,seoulY,incheonX,incheonY,gyeongbukX,gyeongbukY,daeguX,daeguY,ulsanX,ulsanY,busanX,busanY,gyeongnamX,gyeongnamY,chungbukX,chungbukY,chungnamX,chungnamY,sejongX,sejongY,daejeonX,daejeonY,jeonbukX,jeonbukY,jeonnamX,jeonnamY,gwangjuX,gwangjuY,,반지름,옆으로 몇칸?,,높이간격,,
189,14,108.5,48,108.5,72,74,72,200.5,132,200.5,204,235,228,235,240,154.5,228,143,120,74,132,120,144,131.5,168,143,192,108.5,240,97,264,,4,-6,51,12,1,12
120,25,120,48,120,72,85.5,72,212,132,212,204,246.5,228,235,252,166,228,154.5,120,85.5,132,120,156,131.5,180,85.5,204,74,252,108.5,264,,간격,-5,62.5,,2,24
131.5,25,131.5,48,108.5,84,85.5,84,223.5,132,200.5,216,246.5,240,223.5,264,177.5,228,166,120,97,132,120,168,,,97,204,85.5,252,97,276,,11.5,-4,74,,3,36
177.5,25,97,60,120,84,97,84,235,132,189,228,,,235,264,154.5,240,177.5,120,108.5,132,,,,,108.5,204,97,252,108.5,276,,기본 점,-3,85.5,,4,48
189,25,108.5,60,,,74,96,246.5,132,200.5,228,,,,,166,240,189,120,120,132,,,,,120,204,108.5,252,,,,120,-2,97,,5,60
200.5,25,120,60,,,85.5,96,166,144,,,,,,,177.5,240,200.5,120,62.5,144,,,,,131.5,204,120,252,,,,,-1,108.5,,6,72
120,36,131.5,60,,,97,96,177.5,144,,,,,,,189,240,131.5,132,74,144,,,,,143,204,131.5,252,,,,,0,120,,7,84
131.5,36,143,60,,,,,189,144,,,,,,,200.5,240,143,132,85.5,144,,,,,154.5,204,143,252,,,,,1,131.5,,8,96
143,36,97,72,,,,,200.5,144,,,,,,,212,240,154.5,132,97,144,,,,,97,216,62.5,252,,,,,2,143,,9,108
154.5,36,131.5,72,,,,,212,144,,,,,,,223.5,240,166,132,108.5,144,,,,,108.5,216,74,264,,,,,3,154.5,,10,120
166,36,143,72,,,,,223.5,144,,,,,,,154.5,252,177.5,132,74,156,,,,,120,216,85.5,264,,,,,4,166,,11,132
177.5,36,131.5,84,,,,,235,144,,,,,,,166,252,189,132,85.5,156,,,,,131.5,216,120,264,,,,,5,177.5,,12,144
189,36,143,84,,,,,246.5,144,,,,,,,177.5,252,131.5,144,97,156,,,,,143,216,131.5,264,,,,,6,189,,13,156
200.5,36,154.5,84,,,,,166,156,,,,,,,189,252,143,144,108.5,156,,,,,154.5,216,143,264,,,,,7,200.5,,14,168
212,36,108.5,96,,,,,177.5,156,,,,,,,200.5,252,154.5,144,74,168,,,,,85.5,228,62.5,264,,,,,8,212,,15,180
143,48,120,96,,,,,189,156,,,,,,,212,252,131.5,156,85.5,168,,,,,97,228,74,276,,,,,9,223.5,,16,192
154.5,48,131.5,96,,,,,200.5,156,,,,,,,223.5,252,143,156,97,168,,,,,108.5,228,85.5,276,,,,,10,235,,17,204
166,48,143,96,,,,,212,156,,,,,,,154.5,264,154.5,156,108.5,168,,,,,120,228,120,276,,,,,11,246.5,,18,216
177.5,48,154.5,96,,,,,223.5,156,,,,,,,166,264,143,168,85.5,180,,,,,131.5,228,131.5,276,,,,,12,258,,19,228
189,48,97,108,,,,,235,156,,,,,,,177.5,264,154.5,168,97,180,,,,,143,228,143,276,,,,,13,269.5,,20,240
200.5,48,108.5,108,,,,,246.5,156,,,,,,,189,264,143,180,108.5,180,,,,,85.5,240,62.5,288,,,,,,,,21,252
212,48,120,108,,,,,166,168,,,,,,,200.5,264,154.5,180,120,180,,,,,97,240,74,288,,,,,,,,22,264
154.5,60,131.5,108,,,,,177.5,168,,,,,,,212,264,166,180,97,192,,,,,120,240,85.5,288,,,,,,,,23,276
166,60,143,108,,,,,189,168,,,,,,,154.5,276,154.5,192,108.5,192,,,,,131.5,240,97,288,,,,,,,,24,288
177.5,60,154.5,108,,,,,200.5,168,,,,,,,166,276,166,192,120,192,,,,,143,240,108.5,288,,,,,,,,25,300
189,60,97,120,,,,,212,168,,,,,,,177.5,276,,,131.5,192,,,,,,,120,288,,,,,,,,26,312
200.5,60,108.5,120,,,,,223.5,168,,,,,,,189,276,,,,,,,,,,,131.5,288,,,,,,,,,
212,60,120,120,,,,,235,168,,,,,,,200.5,276,,,,,,,,,,,143,288,,,,,,,,,
154.5,72,131.5,120,,,,,246.5,168,,,,,,,212,276,,,,,,,,,,,51,300,,,,,,,,,
166,72,,,,,,,177.5,180,,,,,,,154.5,288,,,,,,,,,,,74,300,,,,,,,,,
177.5,72,,,,,,,189,180,,,,,,,166,288,,,,,,,,,,,85.5,300,,,,,,,,,
189,72,,,,,,,200.5,180,,,,,,,189,288,,,,,,,,,,,97,300,,,,,,,,,
200.5,72,,,,,,,212,180,,,,,,,200.5,288,,,,,,,,,,,108.5,300,,,,,,,,,
212,72,,,,,,,223.5,180,,,,,,,154.5,300,,,,,,,,,,,131.5,300,,,,,,,,,
223.5,72,,,,,,,235,180,,,,,,,189,300,,,,,,,,,,,74,312,,,,,,,,,
166,84,,,,,,,246.5,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.5,84,,,,,,,177.5,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,84,,,,,,,189,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.5,84,,,,,,,200.5,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,84,,,,,,,212,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.5,84,,,,,,,223.5,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,84,,,,,,,235,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,96,,,,,,,246.5,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.5,96,,,,,,,258,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,96,,,,,,,269.5,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.5,96,,,,,,,166,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,96,,,,,,,177.5,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.5,96,,,,,,,189,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,96,,,,,,,223.5,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,108,,,,,,,235,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.5,108,,,,,,,246.5,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,108,,,,,,,258,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.5,108,,,,,,,166,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,108,,,,,,,177.5,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.5,108,,,,,,,189,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,108,,,,,,,212,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.5,108,,,,,,,223.5,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,120,,,,,,,235,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.5,120,,,,,,,246.5,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,120,,,,,,,258,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.5,120,,,,,,,212,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,223.5,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,